sense	Ambai (Yapen) [amk]	Araki [akr]	As [asz]	Bierebo (Yevali) [bnk]	Biga (Misool) [xmt]	Buli [bzq]	Futuna-Aniwa (Aniwa) [fut]	Gimán [gzn]	Irarutu [irh]	Kasira (Irahutu) [irh]	Lelepa [lpa]	Maskelynes [klv]	Minyaifuin (Gebe) [gei]	Numfor [bhw]	Paama (Lironesa) [pma]	Pulau (Arguni) [agf]	Roria [rga]	Vao [vao]	Waropen [wrp]	Windesi Wandamen [wad]
to hold	i-ruti		-siu	-wuᵑgaria	-tabu		puluča	gotal	-ud	-muda	liko	-teᵑkau	-uta	kin	-βoneite	-wagit	iⁿd	-tortoɣoni	feka	kamut
to hunt	i-mumpi			-miyiliβi	-tada	fān ronda	moči	hangkik yo	fruft	mə|tətanfe	sai		-sub	yafyof	-halau	-mbam		-xorɣor	sama	atar
to kill	i-muni	naki	-bun	-we βinuia	-bun	fa-mat	či	pun	-fun	-bunə	pʷa-punu	-par-beni	-pun	[ma]mun	-wasi βomat	-demi		-loh m̈etei	muna	mun
to know, be knowledgeable	tawana		-nun	-ᵑgičea	-uno	tō	-faraŋoina	unak	mrun	-rarune	taea	-loᵐboi	-una	fau	-kilea	garuʔu	taβɣin	-roŋ-βohoni	sira	rina
to laugh	i-miri	mana	-melis	-βisale	-mlef	amlif	kata	mlif	brif	-berrife	muru	-man	-mnif	mbrif	-βiteai	-marif	ur	-m̈an	aneka	mari
to lie down	i-vata		-bɔruɛpu	-mʷono	-enef -amnayo	pakpak	moiraro	mtuli	ɪn	gin gerevivare-	wan-tan	-liᵐboŋ	yenɛf	barĕk	-koluβos	ga-soso ga-daderembi...	ᵐbeᵐbel	-en latan		bata
to live, be alive		m̈auru	-wanɛʔ	-mali	-bi	tub	mauri	fifia	rga	-rega	mʷoli	-maur	-tub	kenĕm	-moul	-rarewer	toɣðaɣ	-m̈aur	uko	tenam
to open, uncover	i-fai				-asa	salawe		ayolu	sgafn	mə|səga-fone			-ausa	bās		-peg			sako	seban
to plant	i-tanamp				-ala	tiwa		tonam	-tan	-mə|ta-nə			fa|tanam	karker		-tanem			ana|ko	tanam
to pound, beat	i-tut|ahi				-tut	ta		tut	-tut	-mə|tu-tə			ka|tut	nuk		-so			soko	tara
to say	i-eoa	soro	-bin	-βisi	-bitinɔ	u	tukua	bi	fier	-biere	tilia	-kele	-of	kofen	-hiteni	-ga	βer	-βerei	ofa	topan
to scratch	ramati	xarosi	-kaʔ	-kuβaria	-kai	gāg	rarača	agág	skur	-mesegigere	karkaro	-xaruβi	-agag	rār	-kali	gaʔor	ᵑgurum	-ɣorɣorehi	nagha	arar
to see	i-vati	lɛsia	-du	-βisuia	-em	niŋa	fačiŋia	am	si	-məsi	lpisia	-risi	-em	mgasi	-lesi	-rewer	le	-lehi	anima	sayor
to sew	i-awa		karɛn	-suluia	-fadin	diŋ	sukia	badidíng	nut	-mutə	silsil	-soⁿde	fakariŋ	sapsip	-titil	-ture		-helei	sua	
to shoot	i-ana		fantanus		-fan	pusi		tablu	ntün	mə|səbegete			-fan	kfo		-mbaref			ana	ana
to sit	i-minohi	sarai	-ba	-totono	-abai	totoláŋ	nofo	bol	mtür	matorə	saksak	-ᵐbutax	tɔlɔn	keïn	-tuntan	-mdagen	taⁿd	-at latan	oaro	masoi
to sleep	i-ena	ŋoro	-nɛ-k	-mʷono	-enef	tuli	moro	melas	ɪn	-gi-ne	maturu	-pat	yenɛf	enĕf	-matil	-reʔenef	turuᵐbo	-en m̈aliko	enako	ena
to sniff, smell	-naha	ponaxa	-fɛtɛn	-čoponea	-fatam	fatan	nomia	fotan		-me|səgəfo	asuroŋea	-monosi	fiatan	nasĕm	-musi	-sigir		-ᵐbonihi	asasa	anasa
to spit	i-kanui	lito	kapi	-βičasiri	-ataplebe	apas[a]	sawari	badidíf	wer rimta	-mə|tefe	tanua	-pulai	-itif	aninef	-tiβ	-fures	lot	-lutov̈	odiwara	kanisu
to split	i-tarabauri		-wɛʔ kapaʔ	-tepʷaia	-apa	segal	fasia	sagal	nagt	-mə|ragete	tipʷraea	-tapoli	kapau	mef	-bas	-pʷaʔus	ntˢelpol	-teβeɣehi	i	sabu
to squeeze	i-kuari		-sidɔʔ	wuia	-fɔgɔl	forār	kumia	ofal	nufr	-muvrə	mʷoli	-saβel	kafɔrɔl	o|mĕs	-huhus	-wame	ⁿdeᵐp	-βirihi	namo	kusar
to stab, pierce	i-isaŋ		isabɔ	-yelia	-ete	sagu	čiriakaŋe	tapa	ntaf	mə|tarə	lawea		-tɛ	kuk	-musaβoe	-sambe	ᵐben	-susilohari	sako	isan
to stand	i-oa	ruru	-sɔ	-səmʷalu	-awol	osal	tu	wosal	mrir	mə|rire	dulen	-il	tipa	orĕs	-mea	-ser	tor	-turaun	otaro	osa[r]
to steal	i-kamananapi				-kamlai	lois		masulak		-bəna-ve			-lous	karau		-menena			wu|mana	manana
to suck	i-sufi		-nim sus	-čimia	suruf	soraf	masakina	pis		-bəsəbuse	su	-sumi	-sɔrɔf	syosĕf	-simi	sus	ntˢintˢin	-lom̈i	tutuma	sum
to swell	bebara		malabaʔ		saba	bos		pungas	br-bar	-nəbər|barə			papɔtɔn	biar		fofor			pino	barbara
to swim	-eria		-as	-čele	-mas	yas	kaukau	koai	kka	-kaka	los	-lilœs	-yas	ās	-uwi	-rur	lolos	-kar	embua	as(e)
to think	tituaita		isɔarfɔ	-siⁿdomi	-fikir	lolam	mentua	bafikir	mrun	-vederbono	maroa	-nau	fikir	swār	-reⁿdem	gamaŋgati	ⁿdelⁿdel	-roromi		sanepai[a]
to throw	i-so		-tiʔ	-kuania	-ete	tig	čiri	abilat	dru	-mə|tru	nati	-tuβ	-tɛ	so	-soni	-so	βleɣ	-narini	soko	so
to tie up, fasten	i-aviti		-batin	-βisiraᵑgaria	-afal	pitan	nauča	soat	srit	mə|remte	lkotia	-ᵐbaŋisi	kapitan	yabĕk	-parkati	-sir	ⁿdiⁿd	-melis	orana	kasies
to turn	bera		-balɛk	-βiliŋi-ko	mafu-	toy	tafuri	waik	putr		roaroae	-pair-xini	-kawai-	kabĕr	-hiles	suvuren	ᵐborseɣ	-rorixo	raisara	sobera
to vomit	i-mamuta	lua	-lu	-čuluwa	-ogol	muta	lua	awá		mə|rue	lua	-ru	-ɔgɔl	aw[u]	-lu	-preʔe	lu	-lulu	koraru	mamuta
to walk	i-ra	v̈anovano	-tan	-yeli	-tag	fān	lalaka	han	fa	-fanə	surata	-iar	-eo	rā	-kaka	-ra	m-alyel	-eh	ra	ra
to work	i-ohondomi		kerja	yumʷaiena	-karəjan	pei manara	βere	hamanitap	wedud	-mudəve	woswos	nauman	karajan	fararur	umin	-voʔit	ⁿdoɣβoɣ	v̈ihahakian	rua	nanari
to yawn						mamaip		nganga						mabab					maitotoa	mavav
tongue	tap[e]re-	memei-ku	-arɛ	pur-mene-ᵑgu	telebo-	papleo	rero	mimou	maje	-mamaye-	na-mna-ŋu	na-mea-ᵑk	mamalɔ	kaprendi	mi-k	ater	nene-	wœ-k	mebero	tapara
tooth	dore-	xočou-ku	-ilis	mære-čua-ᵑgu	lifo-	smo	ñifo	fafó	rfo	-refo-	na-pat-ŋu	na-riβo-ᵑk	kapio	na	loho-k	efe-g tutu	ⁿdu-	uru-k	[k]enasa	dire
warm	meŋgapoi	v̈aruŋu	maris		benes	mfànas	nafano	psan	win	wi-nə	eftonu	tunetun	kapisiɛl	sam	βistat mutin	bamba...	ðiðiarut	ɣeβɣeβeh	wokako	omar[a]
water	mereha	ai	wɛʔ	wi	vɛi	waya	wai	waya	wer	were	n-wai	nu-ai	wa	wār	oai	wir	tarka	n-ue	ghai	kambu
we	amea	kanamrua	am|ne	kumemi čua	ambana	ame	kimaua	ame	am	am	kinim	kiⁿdaru	amne	ŋgo	komal	ambami	nyan	kam̈am	amo	am|at
wet	vevasa		malɔm	meⁿdu	kafia	sisòŋit	maru	baloám	srwer	səroere	mou	i-mœsimœ	padped	dimek	memer	pʷages	mas	mo-ram̈im̈	neneno	va|vasa
what?	fiani	saβaxina	lɛmatɔa	ia	ane	ahai	taha	puí	nia	fera	n-sβa	nə-sa	site	roseï	asa	sanane	syet	naha	atano[wa]	vitoi
when?	rah|ida bo-doni	naŋisa		liŋe		ma-fis	rorae	hafisak		mese	naŋsa	ŋais			neŋeis		ranyeβsi	harβan		tane
where?	andi-doni	v̈e	yatɛ	ᵐbe	tute	mancā[wa]	nončehe	paló li	ge neno	ne|nino	asei	aᵐbe	loa	mobo	kaβe	menaye	siɣ(i)le	anp̈e	wohona	tapa
white	bua	lulu	bus	miyuwe	mabos	bubuláŋ	kioŋo	bulang	bfut	bəvutə	tare	pexapex	kaɔak	piupĕr	muoh	rigigit	mo-βoᵑk	mo-βuhe	fasi	busa[r]
who?	waune	se	matɔiwa	ke	mapane	ise	akai	mei	gata	gata	sei	ase	siei	iseï	isei	itia	syatoᵐp	ihe	ghare	tei
wide	fyabai		malapɔ		manapa	[m]sai		lawilua	-rifr	frifre				bam					sakaro	savaveri
wife	vivi		-bin	kwo-ᵑgu	wa-bin	ŋolotá	fine	kawán	wa-	sote	βiterk	asoa-n	mapin	swa[ri]	asu-k	popin	ᵐblanɣəⁿdeɣ	nuku v̈av̈ine	bino	vinie
wind	wana	laŋi	wɔ	čaŋi	mɔrɔ	làtan	ta mtaŋi	moda	nof	nofə	n-laŋ	nə-laŋ	mɔrɔ	wām	eaŋ	rembember	ntˢar	na-laŋ	wama	wana
wing	varapema	xapa	mfaɛl	kuβena	gio	faio	paxau	faku	frifr	-frivre	na-lfar	ne-xaᵐbela-n	balmo	waprer	eβoue-n	aven	rara-	ɣanp̈e-n		vara|rau
woman/female	viviŋ	pira	-tin	sira	wa-bin	mapíŋ	fine	mapín	bfɪn	bevine	na-ŋron	ne-peɣaβut	mapin	bin	ahin	bimbine	luɣaⁿdeɣ	v̈aβine	bino	vavi[n]
woods/forest	werabuande		dam	yomʷarowa	ai|lo	ailoló	ŋarakau	dom	witu	witu	na-mlas	lili-hai	kamun-alo		eiβorohus	waririr	ᵐblaɣaⁿdaɣ	lam̈oh		dereu
worm (earthworm)	kauboi				amato	gugulat		galét	seje	seye			galawai	arsyawek		wata-gor			neghaghoro	kasibui
year	fuina		tahun	yuwi	tahun	taun	tatau	pariama	taun	taun	n-tau	na-sihau		taun	ouh	gare	taon	hoɣap	ghéa	taune
yellow	byomini	tˢorika		nǰeleru	kamaninis	banban	ferefero	madimal	taf	tafə	mʷonmʷono	yaŋiyaŋ	bwɔŋɔl	naniar	okohis	kuniŋ	mə-ɣentˢ	mo-melemelek	[ni]niko	niŋgua[i]
you	wau	kanimrua	mɔu	kamiu čua	mimbana	meu	korua	meu	e	e[ro]	kumu	kamito	mevia	rwori	kamil	mbu|amu	ntˢyam	kam̈i	mu	mi|at
